timestamp;par;preco_usdt;var_24h_pct;max_24h;min_24h;vol_usdt
2025-08-19 23:08:37;BTCUSDT;113.144,29;-2.26%;116.051,00;112.566,01;2.177.131.409
2025-08-19 23:08:37;SOLUSDT;180,00;-1.40%;183,42;175,69;581.770.757
2025-08-19 23:08:37;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.547.506
2025-08-19 23:08:42;BTCUSDT;113.150,00;-2.27%;116.051,00;112.566,01;2.177.755.361
2025-08-19 23:08:42;SOLUSDT;180,03;-1.39%;183,42;175,69;581.749.396
2025-08-19 23:08:42;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.547.676
2025-08-19 23:08:48;BTCUSDT;113.154,79;-2.26%;116.051,00;112.566,01;2.178.249.373
2025-08-19 23:08:48;SOLUSDT;180,01;-1.39%;183,42;175,69;581.760.418
2025-08-19 23:08:48;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.549.148
2025-08-19 23:08:53;BTCUSDT;113.147,95;-2.28%;116.051,00;112.566,01;2.178.683.832
2025-08-19 23:08:53;SOLUSDT;180,00;-1.40%;183,42;175,69;581.756.740
2025-08-19 23:08:53;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.540.533
2025-08-19 23:08:58;BTCUSDT;113.138,00;-2.28%;116.051,00;112.566,01;2.179.882.198
2025-08-19 23:08:58;SOLUSDT;179,96;-1.39%;183,42;175,69;581.724.636
2025-08-19 23:08:58;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.540.376
2025-08-19 23:09:04;BTCUSDT;113.133,19;-2.28%;116.051,00;112.566,01;2.180.366.646
2025-08-19 23:09:04;SOLUSDT;179,94;-1.38%;183,42;175,69;581.745.540
2025-08-19 23:09:04;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.539.609
2025-08-19 23:09:09;BTCUSDT;113.133,20;-2.28%;116.051,00;112.566,01;2.180.858.398
2025-08-19 23:09:09;SOLUSDT;179,90;-1.38%;183,42;175,69;581.711.356
2025-08-19 23:09:09;PEPEUSDT;0,0000;-3.65%;0,0000;0,0000;94.539.580
2025-08-19 23:09:14;BTCUSDT;113.118,91;-2.29%;116.051,00;112.566,01;2.181.343.081
2025-08-19 23:09:14;SOLUSDT;179,85;-1.40%;183,42;175,69;581.720.366
2025-08-19 23:09:14;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.533.923
2025-08-19 23:09:20;BTCUSDT;113.096,89;-2.30%;116.051,00;112.566,01;2.181.673.054
2025-08-19 23:09:20;SOLUSDT;179,77;-1.44%;183,42;175,69;581.704.761
2025-08-19 23:09:20;PEPEUSDT;0,0000;-3.75%;0,0000;0,0000;94.534.686
2025-08-19 23:09:25;BTCUSDT;113.077,06;-2.31%;116.051,00;112.566,01;2.182.350.397
2025-08-19 23:09:25;SOLUSDT;179,78;-1.43%;183,42;175,69;581.706.406
2025-08-19 23:09:25;PEPEUSDT;0,0000;-3.75%;0,0000;0,0000;94.534.710
2025-08-19 23:09:30;BTCUSDT;113.033,63;-2.37%;116.051,00;112.566,01;2.182.867.014
2025-08-19 23:09:30;SOLUSDT;179,60;-1.58%;183,42;175,69;581.754.117
2025-08-19 23:09:30;PEPEUSDT;0,0000;-3.75%;0,0000;0,0000;94.498.053
2025-08-19 23:09:36;BTCUSDT;113.042,00;-2.36%;116.051,00;112.566,01;2.183.405.879
2025-08-19 23:09:36;SOLUSDT;179,60;-1.58%;183,42;175,69;581.751.357
2025-08-19 23:09:36;PEPEUSDT;0,0000;-3.75%;0,0000;0,0000;94.498.645
2025-08-19 23:09:41;BTCUSDT;113.060,66;-2.33%;116.051,00;112.566,01;2.183.918.712
2025-08-19 23:09:41;SOLUSDT;179,69;-1.50%;183,42;175,69;581.756.359
2025-08-19 23:09:41;PEPEUSDT;0,0000;-3.65%;0,0000;0,0000;94.494.017
2025-08-19 23:09:46;BTCUSDT;113.067,87;-2.33%;116.051,00;112.566,01;2.184.059.177
2025-08-19 23:09:46;SOLUSDT;179,61;-1.55%;183,42;175,69;581.758.255
2025-08-19 23:09:46;PEPEUSDT;0,0000;-3.83%;0,0000;0,0000;94.496.528
2025-08-19 23:09:52;BTCUSDT;113.091,23;-2.33%;116.051,00;112.566,01;2.184.136.316
2025-08-19 23:09:52;SOLUSDT;179,74;-1.52%;183,42;175,69;581.735.745
2025-08-19 23:09:52;PEPEUSDT;0,0000;-3.83%;0,0000;0,0000;94.515.571
2025-08-19 23:09:57;BTCUSDT;113.109,02;-2.33%;116.051,00;112.566,01;2.183.888.844
2025-08-19 23:09:57;SOLUSDT;179,80;-1.54%;183,42;175,69;581.737.210
2025-08-19 23:09:57;PEPEUSDT;0,0000;-3.83%;0,0000;0,0000;94.515.728
2025-08-19 23:10:02;BTCUSDT;113.119,44;-2.35%;116.051,00;112.566,01;2.183.534.556
2025-08-19 23:10:02;SOLUSDT;179,82;-1.59%;183,42;175,69;581.750.943
2025-08-19 23:10:02;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.546.508
2025-08-19 23:10:08;BTCUSDT;113.124,00;-2.35%;116.051,00;112.566,01;2.183.573.765
2025-08-19 23:10:08;SOLUSDT;179,85;-1.59%;183,42;175,69;581.751.781
2025-08-19 23:10:08;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.546.511
2025-08-19 23:10:13;BTCUSDT;113.147,05;-2.32%;116.051,00;112.566,01;2.184.079.349
2025-08-19 23:10:13;SOLUSDT;179,88;-1.53%;183,42;175,69;581.746.116
2025-08-19 23:10:13;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.546.611
2025-08-19 23:10:18;BTCUSDT;113.147,04;-2.31%;116.051,00;112.566,01;2.184.082.210
2025-08-19 23:10:18;SOLUSDT;179,86;-1.51%;183,42;175,69;581.751.960
2025-08-19 23:10:18;PEPEUSDT;0,0000;-3.65%;0,0000;0,0000;94.539.848
2025-08-19 23:10:24;BTCUSDT;113.147,05;-2.29%;116.051,00;112.566,01;2.184.012.336
2025-08-19 23:10:24;SOLUSDT;179,87;-1.46%;183,42;175,69;581.753.261
2025-08-19 23:10:24;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.541.265
2025-08-19 23:10:29;BTCUSDT;113.147,05;-2.29%;116.051,00;112.566,01;2.184.018.972
2025-08-19 23:10:29;SOLUSDT;179,87;-1.48%;183,42;175,69;581.754.598
2025-08-19 23:10:29;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.543.257
2025-08-19 23:10:34;BTCUSDT;113.164,28;-2.26%;116.051,00;112.566,01;2.182.401.758
2025-08-19 23:10:34;SOLUSDT;179,95;-1.41%;183,42;175,69;581.752.413
2025-08-19 23:10:34;PEPEUSDT;0,0000;-3.74%;0,0000;0,0000;94.543.257
2025-08-19 23:10:40;BTCUSDT;113.171,26;-2.25%;116.051,00;112.566,01;2.182.428.151
2025-08-19 23:10:40;SOLUSDT;180,02;-1.37%;183,42;175,69;581.833.467
2025-08-19 23:10:40;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.527.620
2025-08-19 23:10:45;BTCUSDT;113.171,26;-2.25%;116.051,00;112.566,01;2.182.436.033
2025-08-19 23:10:45;SOLUSDT;179,99;-1.38%;183,42;175,69;581.810.871
2025-08-19 23:10:45;PEPEUSDT;0,0000;-3.65%;0,0000;0,0000;94.517.817
2025-08-19 23:11:06;BTCUSDT;113.171,26;-2.25%;116.051,00;112.566,01;2.182.413.917
2025-08-19 23:11:06;SOLUSDT;180,04;-1.34%;183,42;175,69;581.824.860
2025-08-19 23:11:06;PEPEUSDT;0,0000;-3.46%;0,0000;0,0000;94.557.081
2025-08-19 23:11:12;BTCUSDT;113.181,95;-2.25%;116.051,00;112.566,01;2.182.393.583
2025-08-19 23:11:12;SOLUSDT;180,04;-1.35%;183,42;175,69;581.906.375
2025-08-19 23:11:12;PEPEUSDT;0,0000;-3.56%;0,0000;0,0000;94.557.083
2025-08-19 23:11:17;BTCUSDT;113.185,94;-2.25%;116.051,00;112.566,01;2.181.621.664
2025-08-19 23:11:17;SOLUSDT;180,04;-1.35%;183,42;175,69;581.903.761
2025-08-19 23:11:17;PEPEUSDT;0,0000;-3.46%;0,0000;0,0000;94.559.028
